ID,Title,SEO
51164,Resolve security threats with Azure Security Center,azure
51166,Manage and drive actions from survey responses with Voice of the Customer for Dynamics 365,"dynamics, dynamics-sales, dynamics-customer-service"
51170,Design Voice of the Customer for Dynamics 365 surveys,"dynamics, dynamics-sales, dynamics-customer-service"
51177,"Train, evaluate, and select machine-learning models with Azure Databricks","azure, azure-databricks"
51178,Create a machine learning model for offline use on a Windows device,windows
51179,Configure Microsoft Dynamics 365 Field Service,"dynamics, dynamics-field-service"
51181,Introduction to Azure Cognitive Search,azure
51185,Design and build mobile apps for Finance and Operations apps,"dynamics, dynamics-finance-operations"
51186,Connect your on-premises network to Azure with VPN Gateway,"azure, azure-virtual-network, azure-vpn-gateway"
51187,Connect your on-premises network to the Microsoft global network by using ExpressRoute,"azure, azure-virtual-network, azure-expressroute"
51188,Load balance your web service traffic with Application Gateway,"azure, azure-virtual-network, azure-application-gateway"
51190,Design an IP addressing schema for your Azure deployment,"azure, azure-virtual-network"
51191,Manage and control traffic flow in your Azure deployment with routes,"azure, azure-virtual-machines, azure-virtual-network"
51194,Distribute your services across Azure virtual networks and integrate them by using virtual network peering,"azure, azure-virtual-network"
51195,Monitor and troubleshoot your end-to-end Azure network infrastructure by using network monitoring tools,"azure, azure-virtual-network"
51197,Dynamics 365 for Finance and Operations,"dynamics, dynamics-finance-operations"
51198,Centralize your core services by using hub and spoke Azure virtual network architecture,"azure, azure-virtual-network, azure-expressroute"
51199,Store and access graph data in Azure Cosmos DB with the Graph API,"azure, azure-cosmos-db"
51201,"Monitor, diagnose, and troubleshoot your Azure storage",azure
51206,Work with and manage Service Level Agreements with Dynamics 365 for Customer Service,"dynamics, dynamics-customer-service"
51208,Core Cloud Services - Set up CORS for your website and storage assets,"azure, azure-clis, azure-cloud-shell, azure-storage"
51210,Create and manage entitlements in Microsoft Dynamics 365 for Customer Service,"dynamics, dynamics-customer-service"
51217,Use Microsoft Dynamics 365 for Customer Service queues to manage case workloads,"dynamics, dynamics-customer-service"
51218,Consuming Knowledge Articles for Case Resolutions in Dynamics 365 for Customer Service,"dynamics, dynamics-customer-service"
51221,Create and design knowledge management solutions in Dynamics 365 for Customer Service,"dynamics, dynamics-customer-service"
51222,Resource scheduling optimization in Microsoft Dynamics 365 for Field Service,"dynamics, dynamics-field-service"
51227,Customize the schedule board in Microsoft Dynamics 365 for Field Service,"dynamics, dynamics-field-service"
51229,Manage scheduling options in Dynamics 365 for Field Service,"dynamics, dynamics-field-service"
51231,Configure bookable resources in Microsoft Dynamics 365 for Field Service,"dynamics, dynamics-field-service"
53154,Choose the best Azure service to automate your business processes,azure
53155,Create a Content Delivery Network for your Website with Azure CDN and Blob Services,"azure, azure-cdn"
53156,Diagnose startup errors in your application using Kudu console,azure
53157,Store and Access NoSQL Data with Azure Cosmos DB and the Table API,"azure, azure-storage, azure-cosmos-db"
53158,Load test Azure web apps by using Azure DevOps,"azure, dotnet, aspnet-core, dotnet-core"
53159,Build Azure Resource Manager templates,"azure, azure-clis, azure-virtual-machines"
53160,Capture Web Application Logs with App Service Diagnostics Logging,"azure, dotnet, aspnet-core, dotnet-core"
53161,Capture and view page load times in your Azure web app with Application Insights,"azure, dotnet, aspnet-core, dotnet-core"
53163,Support concurrency in Blob storage apps with ETags and blob leases,"azure, azure-storage"
53164,Gather metrics from your Azure Blob Storage containers,azure
53166,Create data visualizations by using Azure Databricks and Power BI,"azure, azure-databricks"
53167,Perform exploratory data analysis with Azure Databricks,"azure, azure-databricks"
53170,Optimize the performance of Azure Cosmos DB by using partitioning and indexing strategies,"azure, azure-cosmos-db"
53171,Route and process data automatically using Logic Apps,"azure, azure-portal, azure-logic-apps"
53172,Introduction to Azure Databricks,"azure, azure-databricks"
53174,Read and write data by using Azure Databricks,"azure, azure-databricks"
53176,Perform text analytics with Azure Databricks,"azure, azure-databricks"
53177,Data ingestion with Azure data factory,"azure, azure-databricks"
53178,Deep learning with Azure Databricks,"azure, azure-databricks"
53179,Work with streaming data in Azure Databricks,"azure, azure-databricks"
53180,Control and organize Azure resources with Azure Resource Manager,"azure, azure-resource-manager"
53181,Perform basic data transformations in Azure Databricks,"azure, azure-databricks"
53184,Create data pipelines by using Databricks Delta,"azure, azure-databricks"
53185,Keep your virtual machines updated,"azure, azure-virtual-machines, azure-automation"
53186,Authenticate browser-based apps with Azure App Services,"azure, azure-app-service"
53188,Publish a web app to Azure with Visual Studio,"azure, dotnet, aspnet-core, dotnet-core, dotnet-standard"
53189,Access SQL Data Warehouse instances with Azure Databricks,"azure, azure-databricks"
53191,Configure the network for your virtual machines,"azure, azure-virtual-machines, azure-virtual-network, azure-expressroute, azure-vpn-gateway, azure-virtual-network"
53192,Get started with Azure DevOps,azure-devops
53196,Write internet-connected Windows apps,windows
53197,Getting started with Visual Studio for Windows 10 app development,windows
53199,Write your first Windows 10 application,windows
53201,Introduction to Windows 10 development,windows
53240,Automate Azure tasks using scripts with PowerShell,azure
53241,Design for availability and recoverability in Azure,"azure, azure-storage, azure-sql-database, azure-cosmos-db, azure-site-recovery, azure-traffic-manager, azure-app-service, azure-load-balancer, azure-backup, azure-application-gateway"
53242,Secure your Azure resources with role-based access control (RBAC),"azure, azure-portal, azure-active-directory"
53243,Get started with Dynamics 365 for Customer Service,"dynamics, dynamics-customer-service"
53244,Design for performance and scalability in Azure,"azure, azure-cdn, azure-virtual-machines, azure-app-service, azure-sql-database, azure-functions, azure-container-instances, azure-kubernetes-service, azure-traffic-manager, azure-redis-cache, azure-monitor, azure-expressroute, azure-virtual-network"
53245,Align requirements with cloud types and service models in Azure,azure
53246,Introduction to Azure virtual machines,"azure, azure-virtual-machines"
53248,Secure your Azure SQL Database,"azure, azure-portal, azure-sql-database"
53249,Design for security in Azure,"azure, azure-active-directory"
53251,Optimize your web applications by caching read-only data with Redis,"azure, azure-redis-cache, dotnet, aspnet-core, dotnet-core"
53252,Pillars of a great Azure architecture,azure
53253,Manage virtual machines with the Azure CLI,"azure, azure-virtual-machines, azure-clis"
53254,Enable reliable messaging for Big Data applications using Azure Event Hubs,"azure, azure-event-hubs"
53255,Implement message-based communication workflows with Azure Service Bus,"azure, azure-service-bus"
53256,Communicate between applications with Azure Queue storage,"azure, azure-storage"
53258,Choose a messaging model in Azure to loosely connect your services,"azure, azure-service-bus, azure-event-grid, azure-event-hubs"
53259,Create serverless logic with Azure Functions,"azure, azure-functions, azure-portal"
53261,Secure your Azure virtual machine disks,"azure, azure-virtual-machines, azure-storage, azure-resource-manager"
53262,Caching and performance in Azure storage disks,"azure, azure-virtual-machines, azure-storage"
53263,Get started with Common Data Service,"power-platform, powerapps"
53264,Add and size disks in Azure virtual machines,"azure, azure-virtual-machines, azure-portal"
53265,Store application data with Azure Blob storage,"azure, azure-storage"
53267,Get started with model-driven apps in Power Apps,"power-platform, powerapps"
53268,Work with mutable and partial data in Azure Cache for Redis,"azure, azure-redis-cache, azure-cloud-shell"
53269,Share your location as a text message using Azure Functions and Twilio,"azure, vs, azure-functions, azure-portal"
53270,Create and share your first Power BI report,"power-platform, power-bi"
53271,Introduction to Azure Government,azure
53272,Get started building with Power BI,"power-platform, power-bi"
53274,Get started with Power Automate,"power-platform, power-automate"
53275,Insert and query data in your Azure Cosmos DB database,"azure, azure-cosmos-db, azure-clis, azure-portal"
53276,Provision an Azure SQL database to store application data,"azure, azure-sql-database, azure-cloud-shell"
53277,Create an Azure Database for PostgreSQL server,"azure, azure-clis, azure-cloud-shell"
53278,Create an Azure Storage account,"azure, azure-storage, azure-portal"
53279,Choose a data storage approach in Azure,"azure, azure-storage, azure-sql-database, azure-cosmos-db"
53281,Manage secrets in your server apps with Azure Key Vault,"azure, azure-key-vault, azure-app-service"
53283,Host a web application with Azure App service,"azure, azure-app-service, azure-portal"
53284,"Security, responsibility, and trust in Azure","azure, azure-active-directory"
53285,Core Cloud Services - Azure networking options,"azure, azure-virtual-network, azure-traffic-manager, azure-load-balancer"
53286,Get started with Power Apps,"power-platform, powerapps"
53287,Core Cloud Services - Azure data storage options,"azure, azure-storage, azure-sql-database, azure-cosmos-db, azure-data-lake, azure-files"
53288,Distribute your data globally with Azure Cosmos DB,"azure, azure-cosmos-db, azure-clis, azure-portal"
53289,Core Cloud Services - Azure compute options,"azure, azure-virtual-machines, azure-app-service, azure-container-instances, azure-kubernetes-service, azure-functions, azure-logic-apps"
53290,Core Cloud Services - Manage services with the Azure portal,"azure, azure-portal"
53291,Cloud Concepts - Principles of cloud computing,"azure, azure-portal, azure-resource-manager"
53292,Create a Linux virtual machine in Azure,"azure, azure-portal, azure-virtual-machines"
53293,Build and run a web application with the MEAN stack on an Azure Linux virtual machine,"azure, azure-virtual-machines, azure-cloud-shell"
53294,Create an Azure Cosmos DB database built to scale,"azure, azure-portal, azure-cosmos-db"
53296,Prepare your development environment for Azure development,"azure, vs, vs-code, vs-mac, azure-sdks"
53297,Connect an app to Azure Storage,"azure, azure-storage, azure-cloud-shell"
53298,Discover sentiment in text with the Text Analytics API,"azure, azure-cosmos-db, azure-cloud-shell, azure-functions, azure-portal, azure-storage, azure-cognitive-services"
53299,Secure your Azure resources with Conditional Access,"azure, azure-active-directory"
53300,Predict costs and optimize spending for Azure,"azure, azure-portal, azure-cost-management"
53301,Build a .NET Core app for Azure Cosmos DB in Visual Studio Code,"azure, azure-cosmos-db, vs, vs-code, dotnet, aspnet-core, dotnet-core"
53302,The Mojifier - Create a Slack bot that replaces people's faces with emojis matching their emotion,"azure, azure-functions, vs-code"
53303,Chain Azure Functions together using input and output bindings,"azure, azure-cosmos-db, azure-functions, azure-storage"
53304,Execute an Azure Function with triggers,"azure, azure-functions, azure-portal"
53305,Monitor and manage your coffee machine with Azure IoT Central,"azure, azure-iot-central"
53306,Learn how to manage IoT devices as an IT Admin,azure
53307,Build a chat bot with the Azure Bot Service,"azure, vs, vs-code, azure-bot-service"
53308,Remotely monitor and service customer equipment with Connected Field Service for Dynamics 365 and Azure IoT,"dynamics, dynamics-field-service, azure, azure-iot-central"
53309,Introduction to Site Reliability Engineering (SRE),azure
53310,Create a Windows virtual machine in Azure,"azure, azure-virtual-machines"
53311,Top 5 security items to consider before pushing to production,"azure, azure-key-vault"
53312,"Interactive deep learning with Jupyter, Docker and PyTorch on the Data Science Virtual Machine","azure, azure-virtual-machines"
53313,Register and manage customer devices with Connected Field Service for Dynamics 365 and Azure IoT,"dynamics, dynamics-field-service, azure, azure-iot-central"
53314,Identify Exceptions with Connected Field Service for Dynamics 365 and Azure IoT,"dynamics, dynamics-field-service, azure, azure-iot-central"
53315,Classify images with the Microsoft Custom Vision Service,"azure, azure-cognitive-services, azure-portal"
53317,Using IoT Central with Connected Field Service for Dynamics 365,"dynamics, dynamics-field-service, azure, azure-iot-central"
53318,Get started with Connected Field Service for Dynamics 365 and Azure IoT,"dynamics, dynamics-field-service, azure, azure-iot-central"
53319,Run Docker containers with Azure Container Instances,"azure, azure-container-instances, azure-cosmos-db"
53320,Build and store container images with Azure Container Registry,"azure, azure-container-instances, azure-container-registry"
53322,Control Azure services with the CLI,"azure, azure-clis"
53323,Design for efficiency and operations in Azure,"azure, azure-cost-management, azure-advisor, azure-monitor"
53324,Managing cases with Microsoft Dynamics 365 for Customer Service,"dynamics, dynamics-customer-service"
53352,Core Cloud Services - Introduction to Azure,"azure, azure-clis"
53353,Process images with the Computer Vision service,"azure, azure-clis, azure-cognitive-services"
53869,SQL Server Discovery using the Microsoft Assessment and Planning (MAP) toolkit,sql-server
53870,Introduction to upgrading Office at scale,"m365, office-365"
53871,Run SQL Server 2017 on Linux containers,sql-server
53874,Assess and convert SQL Server Databases using the Data Migration Assistant (DMA),sql-server
53875,Test and optimize SQL Server databases using the Database Experimentation Assistant (DEA),sql-server
53876,Use the SQL Server Query Tuning Assistant,sql-server
53877,Introduction to SQL Server on Linux,sql-server
53878,Deploy SQL Server on Linux,sql-server
53879,Automatically tune SQL Server on Linux,sql-server
54072,Set up and manage Dynamics 365 Marketing,"dynamics, dynamics-marketing"
54094,Generate leads in Dynamics 365 Marketing,"dynamics, dynamics-marketing, dynamics-customer-engagement"
54098,Marketing to leads and contacts in Dynamics 365 Marketing,"dynamics, dynamics-marketing"
54100,Analyze results in Dynamics 365 Marketing,"dynamics, dynamics-marketing, dynamics-customer-engagement"
54817,Instrument server-side web application code with Application Insights ,"azure, dotnet, aspnet-core, dotnet-core"
55085,Introduction to high-performance computing (HPC) on Azure,"azure, azure-batch, azure-virtual-machines"
55093,Deploy Azure virtual machines from VHD templates,"azure, azure-virtual-machines"
55096,Make your application storage highly available with read-access geo-redundant storage,azure
55123,Analyze your Azure infrastructure by using Azure Monitor logs,azure
55124,Improve incident response with alerting on Azure,"azure, azure-monitor"
55126,Design a holistic monitoring strategy on Azure,"azure, azure-monitor"
55142,Design your migration to Azure,azure
55859,Work with workflows in Finance and Operations apps,"dynamics, dynamics-finance-operations"
56312,Get help and learn more about Finance and Operations apps,"dynamics, dynamics-finance-operations"
56323,Configure currencies in Dynamics 365 Finance,"dynamics, dynamics-finance"
56331,"Create fiscal calendars, years, and periods in Dynamics 365 Finance","dynamics, dynamics-finance"
56341,Configure chart of accounts in Dynamics 365 for Finance and Operations,"dynamics, dynamics-finance-operations"
56347,Configure ledgers and journals in Dynamics 365 Finance,"dynamics, dynamics-finance"
56350,Perform general ledger daily procedures in Dynamics 365 Finance,"dynamics, dynamics-finance"
56352,Intercompany accounting in Dynamics 365 Finance,"dynamics, dynamics-finance"
56355,Configure ledger allocations and accruals in Dynamics 365 Finance,"dynamics, dynamics-finance"
56381,Tour the N-tier architecture style for your application,azure
56948,Plan and implement legal entities in Finance and Operations apps,"dynamics, dynamics-finance-operations"
56950,Plan and implement security in Finance and Operations apps,"dynamics, dynamics-finance-operations"
57014,Personalize Finance and Operations apps,"dynamics, dynamics-finance-operations"
57016,Implement common integration features in Finance and Operations apps,"dynamics, dynamics-finance-operations"
57031,Get started with Lifecycle Services for Finance and Operations apps,"dynamics, dynamics-finance-operations"
57467,Prepare data for migration to Finance and Operations apps,"dynamics, dynamics-finance-operations"
57469,Work with data management in Finance and Operations apps,"dynamics, dynamics-finance-operations"
57471,Perform user acceptance testing in Finance and Operations apps,"dynamics, dynamics-finance-operations"
57473,Prepare to go-live with Finance and Operations apps,"dynamics, dynamics-finance-operations"
57491,Configure cash and bank management in Dynamics 365 Finance,"dynamics, dynamics-finance"
57499,Work with cash and bank management in Dynamics 365 Finance,"dynamics, dynamics-finance"
57501,Configure letters of credit and guarantees in Dynamics 365 Finance,"dynamics, dynamics-finance"
57504,Configure the Tax module in Dynamics 365 for Finance and Operations,"dynamics, dynamics-finance-operations"
57613,Configure Accounts payable in Dynamics 365 Finance,"dynamics, dynamics-finance"
57615,Perform Accounts payable daily procedures in Dynamics 365 Finance,"dynamics, dynamics-finance"
57617,"Work with accounting distributions, invoice validations and settlements in Dynamics 365 Finance","dynamics, dynamics-finance"
57622,Configure and process postdated checks in Dynamics 365 Finance,"dynamics, dynamics-finance"
57631,Configure accounts receivable in Dynamics 365 Finance,"dynamics, dynamics-finance"
57636,Perform accounts receivable daily procedures in Dynamics 365 Finance,"dynamics, dynamics-finance"
57639,Configure credit and collections in Dynamics 365 Finance,"dynamics, dynamics-finance"
57642,Process credit and collections in Dynamics 365 Finance,"dynamics, dynamics-finance"
57653,Configure and use basic budgeting and budget control in Dynamics 365 Finance,"dynamics, dynamics-finance"
57655,Configure and use budget planning in Dynamics 365 Finance,"dynamics, dynamics-finance"
57659,Configure fixed assets management in Dynamics 365 Finance,"dynamics, dynamics-finance"
57662,Manage fixed assets in Dynamics 365 Finance,"dynamics, dynamics-finance"
58571,Manage leads with Dynamics 365 Sales,"dynamics, dynamics-sales"
